Tanggal,Kategori,Is_Expense,Total Pemasukan,Total Pengeluaran,Keuntungan
1/18/2021,Pembelian Barang,1,0,12703000,282410000
1/19/2021,Pengandaan Barang,0,33281000,0,315691000
1/20/2021,Pengiriman,1,0,9296000,306395000
1/21/2021,Pembelian Barang,1,0,11932000,294463000
1/21/2021,Pengiriman,1,0,8941000,285522000
1/22/2021,Pengandaan Barang,0,34469000,0,319991000
1/22/2021,Pengandaan Barang,0,34430000,0,354421000
1/22/2021,Pembelian Barang,1,0,13129000,341292000
1/23/2021,Pengandaan Barang,0,34846000,0,376138000
1/23/2021,Pembelian Barang,1,0,7987000,368151000
1/24/2021,Pengiriman,1,0,18581000,349570000
1/24/2021,Pembelian Barang,1,0,17383000,332187000
1/24/2021,Pengiriman,1,0,9720000,322467000
1/25/2021,Pengandaan Barang,0,36713000,0,359180000
1/25/2021,Pengandaan Barang,0,36965000,0,396145000
1/26/2021,Pengandaan Barang,0,36322000,0,432467000
1/26/2021,Pengiriman,1,0,17833000,414634000
1/26/2021,Pengandaan Barang,0,36989000,0,451623000
1/27/2021,Jasa Pemasangan,0,37318000,0,488941000
1/27/2021,Pengandaan Barang,0,38567000,0,527508000
1/28/2021,Pembelian Barang,1,0,11127000,516381000
1/28/2021,Pengiriman,1,0,18193000,498188000
1/29/2021,Pengiriman,1,0,6966000,491222000
1/29/2021,Jasa Pemasangan,0,37862000,0,529084000
1/30/2021,Pengandaan Barang,0,39364000,0,568448000
1/30/2021,Pembelian Barang,1,0,19840000,548608000
1/30/2021,Pengandaan Barang,0,38774000,0,587382000
1/31/2021,Pengiriman,1,0,16439000,570943000
2/1/2021,Pembelian Barang,1,0,19727000,551216000
2/1/2021,Pengiriman,1,0,6880000,544336000
2/2/2021,Pembelian Barang,1,0,19042000,525294000
2/3/2021,Pengiriman,1,0,16669000,508625000
2/4/2021,Pengiriman,1,0,18959000,489666000
2/4/2021,Pembelian Barang,1,0,9672000,479994000
2/4/2021,Pembelian Barang,1,0,9332000,470662000
2/5/2021,Pembelian Barang,1,0,5139000,465523000
2/5/2021,Jasa Pemasangan,0,40000000,0,505523000
2/6/2021,Jasa Pemasangan,0,40000000,0,545523000
2/7/2021,Pengiriman,1,0,19005000,526518000
2/8/2021,Pengiriman,1,0,17169000,509349000
2/8/2021,Pembelian Barang,1,0,10860000,498489000
2/8/2021,Pembelian Barang,1,0,12002000,486487000
2/9/2021,Pengiriman,1,0,13500000,472987000
2/9/2021,Pengandaan Barang,0,40000000,0,512987000
2/10/2021,Jasa Pemasangan,0,40000000,0,552987000
2/10/2021,Pembelian Barang,1,0,8612000,544375000
2/10/2021,Jasa Pemasangan,0,39172000,0,583547000
2/11/2021,Pengiriman,1,0,19084000,564463000
2/12/2021,Pengandaan Barang,0,40000000,0,604463000
2/13/2021,Jasa Pemasangan,0,40000000,0,644463000
2/13/2021,Pengiriman,1,0,14230000,630233000
2/13/2021,Jasa Pemasangan,0,40000000,0,670233000
2/14/2021,Pembelian Barang,1,0,10253000,659980000
2/14/2021,Jasa Pemasangan,0,39494000,0,699474000
2/14/2021,Jasa Pemasangan,0,40000000,0,739474000
2/15/2021,Pengiriman,1,0,5176000,734298000
2/15/2021,Pengandaan Barang,0,40000000,0,774298000
2/16/2021,Jasa Pemasangan,0,39202000,0,813500000
2/16/2021,Pengiriman,1,0,5038000,808462000
2/16/2021,Pembelian Barang,1,0,17618000,790844000
2/17/2021,Pengiriman,1,0,14052000,776792000
2/17/2021,Pembelian Barang,1,0,8359000,768433000
2/17/2021,Pengiriman,1,0,14722000,753711000
2/18/2021,Pengiriman,1,0,10402000,743309000
2/18/2021,Pembelian Barang,1,0,15612000,727697000
2/18/2021,Pembelian Barang,1,0,7740000,719957000
2/19/2021,Pengandaan Barang,0,39044000,0,759001000
2/19/2021,Jasa Pemasangan,0,39865000,0,798866000
2/19/2021,Pembelian Barang,1,0,13936000,784930000
2/20/2021,Pengiriman,1,0,17203000,767727000
2/20/2021,Pengiriman,1,0,17143000,750584000
2/20/2021,Pengandaan Barang,0,39109000,0,789693000
2/21/2021,Pengandaan Barang,0,39506000,0,829199000
2/21/2021,Pengiriman,1,0,7925000,821274000
2/22/2021,Pengiriman,1,0,15958000,805316000
2/23/2021,Jasa Pemasangan,0,40000000,0,845316000
2/23/2021,Pengandaan Barang,0,40000000,0,885316000
2/24/2021,Jasa Pemasangan,0,40000000,0,925316000
2/25/2021,Pengiriman,1,0,19127000,906189000
2/26/2021,Pengiriman,1,0,17476000,888713000
2/27/2021,Pembelian Barang,1,0,8368000,880345000
2/27/2021,Pembelian Barang,1,0,18014000,862331000
2/28/2021,Jasa Pemasangan,0,39672000,0,902003000
2/28/2021,Pengandaan Barang,0,40000000,0,942003000
2/28/2021,Pengandaan Barang,0,39385000,0,981388000
3/1/2021,Jasa Pemasangan,0,38563000,0,1019951000
3/1/2021,Pengiriman,1,0,12058000,1007893000
3/1/2021,Pembelian Barang,1,0,18482000,989411000
3/2/2021,Pembelian Barang,1,0,19049000,970362000
3/2/2021,Pengandaan Barang,0,38102000,0,1008464000
3/3/2021,Jasa Pemasangan,0,38325000,0,1046789000
3/3/2021,Pengiriman,1,0,17790000,1028999000
3/3/2021,Pengandaan Barang,0,39715000,0,1068714000
3/4/2021,Jasa Pemasangan,0,40000000,0,1108714000
3/4/2021,Jasa Pemasangan,0,40000000,0,1148714000
3/5/2021,Pembelian Barang,1,0,7681000,1141033000
3/6/2021,Pengiriman,1,0,6328000,1134705000
3/6/2021,Jasa Pemasangan,0,40000000,0,1174705000
3/6/2021,Jasa Pemasangan,0,40000000,0,1214705000
3/7/2021,Pengiriman,1,0,19392000,1195313000
3/8/2021,Pengiriman,1,0,8703000,1186610000
3/8/2021,Pengandaan Barang,0,40000000,0,1226610000
3/8/2021,Pembelian Barang,1,0,17770000,1208840000
3/9/2021,Jasa Pemasangan,0,39343000,0,1248183000
3/9/2021,Pengandaan Barang,0,40000000,0,1288183000
3/10/2021,Pengiriman,1,0,8614000,1279569000
3/10/2021,Jasa Pemasangan,0,39408000,0,1318977000
3/10/2021,Jasa Pemasangan,0,40000000,0,1358977000
3/11/2021,Pengiriman,1,0,7367000,1351610000
3/12/2021,Pengiriman,1,0,15521000,1336089000
3/12/2021,Pembelian Barang,1,0,8961000,1327128000
3/13/2021,Jasa Pemasangan,0,40000000,0,1367128000
3/14/2021,Jasa Pemasangan,0,40000000,0,1407128000
3/15/2021,Pengiriman,1,0,13573000,1393555000
3/15/2021,Jasa Pemasangan,0,39451000,0,1433006000
3/16/2021,Pembelian Barang,1,0,9839000,1423167000
3/16/2021,Pembelian Barang,1,0,5514000,1417653000
3/17/2021,Pembelian Barang,1,0,6568000,1411085000
3/17/2021,Pengiriman,1,0,11991000,1399094000
3/17/2021,Pembelian Barang,1,0,16654000,1382440000
3/18/2021,Pengiriman,1,0,12675000,1369765000
3/18/2021,Jasa Pemasangan,0,40000000,0,1409765000
3/18/2021,Pembelian Barang,1,0,15179000,1394586000
3/19/2021,Pembelian Barang,1,0,12076000,1382510000
3/20/2021,Pengiriman,1,0,6036000,1376474000
3/20/2021,Jasa Pemasangan,0,40000000,0,1416474000
3/20/2021,Pengandaan Barang,0,39444000,0,1455918000
3/21/2021,Pembelian Barang,1,0,12948000,1442970000
3/22/2021,Pengandaan Barang,0,39257000,0,1482227000
3/22/2021,Pengandaan Barang,0,38893000,0,1521120000
3/23/2021,Pengandaan Barang,0,38828000,0,1559948000
3/23/2021,Jasa Pemasangan,0,39790000,0,1599738000
3/24/2021,Pengiriman,1,0,9184000,1590554000
3/25/2021,Pengandaan Barang,0,39136000,0,1629690000
3/25/2021,Pembelian Barang,1,0,13684000,1616006000
3/26/2021,Pembelian Barang,1,0,10481000,1605525000
3/26/2021,Pembelian Barang,1,0,7949000,1597576000
3/26/2021,Pengiriman,1,0,16339000,1581237000
3/27/2021,Jasa Pemasangan,0,39728000,0,1620965000
3/28/2021,Pengiriman,1,0,7031000,1613934000
3/28/2021,Pengandaan Barang,0,40000000,0,1653934000
3/28/2021,Pengiriman,1,0,19489000,1634445000
3/29/2021,Jasa Pemasangan,0,39185000,0,1673630000
3/30/2021,Jasa Pemasangan,0,38287000,0,1711917000
3/30/2021,Pembelian Barang,1,0,6919000,1704998000
3/30/2021,Jasa Pemasangan,0,38520000,0,1743518000
3/31/2021,Jasa Pemasangan,0,40000000,0,1783518000
4/1/2021,Pengiriman,1,0,19297000,1764221000
4/2/2021,Pembelian Barang,1,0,14154000,1750067000
4/2/2021,Pengandaan Barang,0,40000000,0,1790067000
4/2/2021,Jasa Pemasangan,0,39076000,0,1829143000
4/3/2021,Pengiriman,1,0,15499000,1813644000
4/3/2021,Jasa Pemasangan,0,40000000,0,1853644000
4/3/2021,Jasa Pemasangan,0,40000000,0,1893644000
4/4/2021,Pengiriman,1,0,18806000,1874838000
4/4/2021,Jasa Pemasangan,0,40000000,0,1914838000
4/5/2021,Pengiriman,1,0,19703000,1895135000
4/5/2021,Pembelian Barang,1,0,15741000,1879394000
4/6/2021,Pengandaan Barang,0,40000000,0,1919394000
4/6/2021,Pembelian Barang,1,0,7119000,1912275000
4/7/2021,Pengandaan Barang,0,40000000,0,1952275000
4/7/2021,Jasa Pemasangan,0,40000000,0,1992275000
4/8/2021,Pembelian Barang,1,0,11917000,1980358000
4/9/2021,Pembelian Barang,1,0,10613000,1969745000
4/9/2021,Pembelian Barang,1,0,14459000,1955286000
4/10/2021,Pengandaan Barang,0,40000000,0,1995286000
4/10/2021,Pembelian Barang,1,0,14938000,1980348000
4/11/2021,Pengandaan Barang,0,40000000,0,2020348000
4/11/2021,Pengandaan Barang,0,40000000,0,2060348000
4/11/2021,Jasa Pemasangan,0,40000000,0,2100348000
4/12/2021,Pengiriman,1,0,19095000,2081253000
4/12/2021,Pembelian Barang,1,0,18281000,2062972000
4/12/2021,Pembelian Barang,1,0,19369000,2043603000
4/13/2021,Pengiriman,1,0,16972000,2026631000
4/14/2021,Pembelian Barang,1,0,18007000,2008624000
4/14/2021,Pengiriman,1,0,8126000,2000498000
4/14/2021,Jasa Pemasangan,0,40000000,0,2040498000
4/15/2021,Pengandaan Barang,0,39719000,0,2080217000
4/16/2021,Pengandaan Barang,0,40000000,0,2120217000
4/16/2021,Jasa Pemasangan,0,40000000,0,2160217000
4/16/2021,Jasa Pemasangan,0,39430000,0,2199647000
4/17/2021,Pembelian Barang,1,0,10290000,2189357000
4/17/2021,Pengiriman,1,0,17697000,2171660000
4/18/2021,Pengiriman,1,0,5365000,2166295000
4/19/2021,Pengandaan Barang,0,38930000,0,2205225000
4/20/2021,Pengandaan Barang,0,39871000,0,2245096000
4/20/2021,Jasa Pemasangan,0,39678000,0,2284774000
4/21/2021,Jasa Pemasangan,0,40000000,0,2324774000
4/21/2021,Pengiriman,1,0,9134000,2315640000
4/21/2021,Pengandaan Barang,0,40000000,0,2355640000
4/22/2021,Jasa Pemasangan,0,40000000,0,2395640000
4/22/2021,Pembelian Barang,1,0,15113000,2380527000
4/22/2021,Pengandaan Barang,0,39580000,0,2420107000
4/23/2021,Jasa Pemasangan,0,40000000,0,2460107000
4/24/2021,Pengiriman,1,0,6469000,2453638000
4/24/2021,Jasa Pemasangan,0,40000000,0,2493638000
4/25/2021,Jasa Pemasangan,0,40000000,0,2533638000
4/25/2021,Pengiriman,1,0,12853000,2520785000
4/26/2021,Pengiriman,1,0,5069000,2515716000
4/27/2021,Pembelian Barang,1,0,13075000,2502641000
4/27/2021,Pengandaan Barang,0,39640000,0,2542281000
4/28/2021,Jasa Pemasangan,0,39444000,0,2581725000
4/28/2021,Jasa Pemasangan,0,39457000,0,2621182000
4/29/2021,Pengiriman,1,0,14889000,2606293000
4/30/2021,Jasa Pemasangan,0,39414000,0,2645707000
4/30/2021,Pengiriman,1,0,5705000,2640002000
5/1/2021,Pembelian Barang,1,0,10621000,2629381000
5/1/2021,Pembelian Barang,1,0,15432000,2613949000
5/2/2021,Pengiriman,1,0,19654000,2594295000
5/3/2021,Pengandaan Barang,0,40000000,0,2634295000
5/3/2021,Pembelian Barang,1,0,14795000,2619500000
5/4/2021,Pengiriman,1,0,16625000,2602875000
5/5/2021,Jasa Pemasangan,0,40000000,0,2642875000
5/6/2021,Pengiriman,1,0,17238000,2625637000
5/7/2021,Pengiriman,1,0,8329000,2617308000
5/7/2021,Pengiriman,1,0,10588000,2606720000
5/8/2021,Pengandaan Barang,0,40000000,0,2646720000
5/9/2021,Pengandaan Barang,0,39608000,0,2686328000
5/9/2021,Pembelian Barang,1,0,6778000,2679550000
5/10/2021,Pembelian Barang,1,0,5503000,2674047000
5/10/2021,Jasa Pemasangan,0,40000000,0,2714047000
5/11/2021,Jasa Pemasangan,0,40000000,0,2754047000
5/11/2021,Pengandaan Barang,0,40000000,0,2794047000
5/12/2021,Jasa Pemasangan,0,39062000,0,2833109000
5/12/2021,Pengiriman,1,0,10571000,2822538000
5/12/2021,Pengandaan Barang,0,40000000,0,2862538000
5/13/2021,Pengandaan Barang,0,40000000,0,2902538000
5/13/2021,Pengiriman,1,0,13711000,2888827000
5/14/2021,Pengiriman,1,0,13119000,2875708000
5/15/2021,Pengiriman,1,0,14752000,2860956000
5/15/2021,Pengiriman,1,0,9100000,2851856000
5/15/2021,Pengiriman,1,0,8285000,2843571000
5/16/2021,Pengandaan Barang,0,39317000,0,2882888000
5/16/2021,Pengiriman,1,0,13389000,2869499000
5/17/2021,Pengandaan Barang,0,39750000,0,2909249000
5/17/2021,Jasa Pemasangan,0,40000000,0,2949249000
5/18/2021,Jasa Pemasangan,0,39402000,0,2988651000
5/19/2021,Pengandaan Barang,0,40000000,0,3028651000
5/20/2021,Pengiriman,1,0,12367000,3016284000
5/20/2021,Pengiriman,1,0,14696000,3001588000
5/21/2021,Pengiriman,1,0,7776000,2993812000
5/21/2021,Pembelian Barang,1,0,14148000,2979664000
5/21/2021,Pengiriman,1,0,19399000,2960265000
5/22/2021,Pengiriman,1,0,18727000,2941538000
5/23/2021,Pembelian Barang,1,0,14417000,2927121000
5/24/2021,Pengiriman,1,0,9215000,2917906000
5/24/2021,Pembelian Barang,1,0,10294000,2907612000
5/24/2021,Pengandaan Barang,0,40000000,0,2947612000
5/25/2021,Pengiriman,1,0,15142000,2932470000
5/26/2021,Pembelian Barang,1,0,15526000,2916944000
5/26/2021,Pengandaan Barang,0,40000000,0,2956944000
5/26/2021,Pengiriman,1,0,13287000,2943657000
5/27/2021,Jasa Pemasangan,0,40000000,0,2983657000
5/27/2021,Pengandaan Barang,0,40000000,0,3023657000
5/28/2021,Pengandaan Barang,0,39331000,0,3062988000
5/28/2021,Pengiriman,1,0,11007000,3051981000
5/29/2021,Pengiriman,1,0,19166000,3032815000
5/30/2021,Pembelian Barang,1,0,19563000,3013252000
5/30/2021,Pengiriman,1,0,5082000,3008170000
5/31/2021,Pengandaan Barang,0,40000000,0,3048170000
5/31/2021,Pembelian Barang,1,0,5200000,3042970000
6/1/2021,Jasa Pemasangan,0,40000000,0,3082970000
6/1/2021,Jasa Pemasangan,0,39717000,0,3122687000
6/2/2021,Pengandaan Barang,0,38749000,0,3161436000
6/3/2021,Pengiriman,1,0,11274000,3150162000
6/4/2021,Pengandaan Barang,0,38133000,0,3188295000
6/4/2021,Pengiriman,1,0,11188000,3177107000
6/5/2021,Pengandaan Barang,0,39888000,0,3216995000
6/6/2021,Jasa Pemasangan,0,40000000,0,3256995000
6/6/2021,Pengiriman,1,0,7127000,3249868000
6/6/2021,Jasa Pemasangan,0,40000000,0,3289868000
6/7/2021,Pengandaan Barang,0,40000000,0,3329868000
6/8/2021,Jasa Pemasangan,0,40000000,0,3369868000
6/9/2021,Pembelian Barang,1,0,16525000,3353343000
6/9/2021,Pembelian Barang,1,0,16505000,3336838000
6/9/2021,Pembelian Barang,1,0,11311000,3325527000
6/10/2021,Pembelian Barang,1,0,9364000,3316163000
6/11/2021,Jasa Pemasangan,0,39257000,0,3355420000
6/11/2021,Jasa Pemasangan,0,40000000,0,3395420000
6/12/2021,Jasa Pemasangan,0,40000000,0,3435420000
6/12/2021,Jasa Pemasangan,0,40000000,0,3475420000
6/13/2021,Pembelian Barang,1,0,6457000,3468963000
6/13/2021,Jasa Pemasangan,0,40000000,0,3508963000
6/13/2021,Pengiriman,1,0,15022000,3493941000
6/14/2021,Pengandaan Barang,0,40000000,0,3533941000
6/15/2021,Pembelian Barang,1,0,16273000,3517668000
6/15/2021,Jasa Pemasangan,0,40000000,0,3557668000
6/15/2021,Jasa Pemasangan,0,40000000,0,3597668000
6/16/2021,Pembelian Barang,1,0,11839000,3585829000
6/16/2021,Pembelian Barang,1,0,13345000,3572484000
6/16/2021,Jasa Pemasangan,0,39190000,0,3611674000
6/17/2021,Jasa Pemasangan,0,40000000,0,3651674000
6/18/2021,Jasa Pemasangan,0,40000000,0,3691674000
6/19/2021,Jasa Pemasangan,0,40000000,0,3731674000
6/19/2021,Jasa Pemasangan,0,39937000,0,3771611000
6/19/2021,Jasa Pemasangan,0,40000000,0,3811611000
6/20/2021,Pengandaan Barang,0,39226000,0,3850837000
6/21/2021,Pengandaan Barang,0,40000000,0,3890837000
6/21/2021,Pembelian Barang,1,0,9672000,3881165000
6/22/2021,Pembelian Barang,1,0,19396000,3861769000
6/22/2021,Pengiriman,1,0,5863000,3855906000
6/23/2021,Jasa Pemasangan,0,40000000,0,3895906000
6/23/2021,Jasa Pemasangan,0,39971000,0,3935877000
6/24/2021,Jasa Pemasangan,0,40000000,0,3975877000
6/24/2021,Jasa Pemasangan,0,39809000,0,4015686000
6/24/2021,Jasa Pemasangan,0,39807000,0,4055493000
6/25/2021,Pembelian Barang,1,0,5802000,4049691000
6/25/2021,Jasa Pemasangan,0,38828000,0,4088519000
6/25/2021,Pengiriman,1,0,8669000,4079850000
6/26/2021,Jasa Pemasangan,0,40000000,0,4119850000
6/26/2021,Pengiriman,1,0,18327000,4101523000
6/26/2021,Pengiriman,1,0,6891000,4094632000
6/27/2021,Pengiriman,1,0,17640000,4076992000
6/28/2021,Pengiriman,1,0,11215000,4065777000
6/29/2021,Pengandaan Barang,0,40000000,0,4105777000
6/29/2021,Pengiriman,1,0,18821000,4086956000
6/30/2021,Pembelian Barang,1,0,14718000,4072238000
6/30/2021,Pembelian Barang,1,0,16489000,4055749000
7/1/2021,Jasa Pemasangan,0,40000000,0,4095749000
7/2/2021,Jasa Pemasangan,0,40000000,0,4135749000
7/3/2021,Pengiriman,1,0,17051000,4118698000
7/3/2021,Pembelian Barang,1,0,17766000,4100932000
7/4/2021,Pengiriman,1,0,16142000,4084790000
7/5/2021,Jasa Pemasangan,0,40000000,0,4124790000
7/5/2021,Pengandaan Barang,0,40000000,0,4164790000
7/6/2021,Pengandaan Barang,0,40000000,0,4204790000
7/7/2021,Jasa Pemasangan,0,40000000,0,4244790000
7/7/2021,Pembelian Barang,1,0,19915000,4224875000
7/7/2021,Pembelian Barang,1,0,19164000,4205711000
7/8/2021,Pembelian Barang,1,0,17312000,4188399000
7/9/2021,Pengiriman,1,0,18400000,4169999000
7/9/2021,Pembelian Barang,1,0,19762000,4150237000
7/9/2021,Jasa Pemasangan,0,39372000,0,4189609000
7/10/2021,Pengandaan Barang,0,40000000,0,4229609000
7/11/2021,Pengandaan Barang,0,40000000,0,4269609000
7/11/2021,Pembelian Barang,1,0,6613000,4262996000
7/11/2021,Jasa Pemasangan,0,40000000,0,4302996000
7/12/2021,Pengiriman,1,0,11021000,4291975000
7/12/2021,Pengandaan Barang,0,40000000,0,4331975000
7/13/2021,Pengandaan Barang,0,39401000,0,4371376000
7/13/2021,Pembelian Barang,1,0,16812000,4354564000
7/13/2021,Pengandaan Barang,0,40000000,0,4394564000
7/14/2021,Pengiriman,1,0,9178000,4385386000
7/15/2021,Pengiriman,1,0,12374000,4373012000
7/15/2021,Pengiriman,1,0,17378000,4355634000
7/16/2021,Pembelian Barang,1,0,8851000,4346783000
7/17/2021,Jasa Pemasangan,0,40000000,0,4386783000
7/17/2021,Pembelian Barang,1,0,11327000,4375456000
7/17/2021,Pengandaan Barang,0,39065000,0,4414521000
7/18/2021,Pengiriman,1,0,18874000,4395647000
7/19/2021,Jasa Pemasangan,0,39744000,0,4435391000
7/19/2021,Pembelian Barang,1,0,7447000,4427944000
7/20/2021,Pengiriman,1,0,16288000,4411656000
7/21/2021,Pengiriman,1,0,8111000,4403545000
7/21/2021,Pengandaan Barang,0,39067000,0,4442612000
7/22/2021,Pengandaan Barang,0,38966000,0,4481578000
7/23/2021,Jasa Pemasangan,0,40000000,0,4521578000
7/24/2021,Jasa Pemasangan,0,39866000,0,4561444000
7/25/2021,Pengandaan Barang,0,40000000,0,4601444000
7/26/2021,Pengiriman,1,0,12730000,4588714000
7/27/2021,Pengandaan Barang,0,40000000,0,4628714000
7/27/2021,Jasa Pemasangan,0,40000000,0,4668714000
7/28/2021,Pengandaan Barang,0,40000000,0,4708714000
7/28/2021,Pengiriman,1,0,8180000,4700534000
7/28/2021,Pembelian Barang,1,0,10246000,4690288000
7/29/2021,Pengiriman,1,0,7405000,4682883000
7/29/2021,Pengandaan Barang,0,40000000,0,4722883000
7/29/2021,Jasa Pemasangan,0,40000000,0,4762883000
7/30/2021,Jasa Pemasangan,0,39970000,0,4802853000
7/30/2021,Pembelian Barang,1,0,12593000,4790260000
7/31/2021,Pengandaan Barang,0,39100000,0,4829360000
8/1/2021,Pengiriman,1,0,13520000,4815840000
8/1/2021,Pembelian Barang,1,0,16352000,4799488000
8/1/2021,Pembelian Barang,1,0,8956000,4790532000
8/2/2021,Pengandaan Barang,0,38952000,0,4829484000
8/3/2021,Pengiriman,1,0,5044000,4824440000
8/3/2021,Pengiriman,1,0,5646000,4818794000
8/4/2021,Pengandaan Barang,0,38146000,0,4856940000
8/4/2021,Pengandaan Barang,0,40000000,0,4896940000
8/4/2021,Jasa Pemasangan,0,40000000,0,4936940000
8/5/2021,Jasa Pemasangan,0,40000000,0,4976940000
8/5/2021,Pengiriman,1,0,18638000,4958302000
8/5/2021,Pengiriman,1,0,13572000,4944730000
8/6/2021,Pengandaan Barang,0,40000000,0,4984730000
8/7/2021,Pembelian Barang,1,0,9301000,4975429000
8/7/2021,Pengandaan Barang,0,40000000,0,5015429000
8/7/2021,Pengiriman,1,0,15605000,4999824000
8/8/2021,Pembelian Barang,1,0,19792000,4980032000
8/9/2021,Pembelian Barang,1,0,11652000,4968380000
8/10/2021,Pembelian Barang,1,0,17034000,4951346000
8/10/2021,Pembelian Barang,1,0,12632000,4938714000
8/11/2021,Jasa Pemasangan,0,40000000,0,4978714000
8/12/2021,Pengandaan Barang,0,40000000,0,5018714000
8/13/2021,Pengandaan Barang,0,39493000,0,5058207000
8/13/2021,Pengiriman,1,0,7000000,5051207000
8/14/2021,Pembelian Barang,1,0,6686000,5044521000
8/14/2021,Pembelian Barang,1,0,10388000,5034133000
8/14/2021,Pengiriman,1,0,6727000,5027406000
8/15/2021,Pengiriman,1,0,17948000,5009458000
8/15/2021,Jasa Pemasangan,0,38641000,0,5048099000
8/16/2021,Jasa Pemasangan,0,37966000,0,5086065000
8/16/2021,Pembelian Barang,1,0,15807000,5070258000
8/17/2021,Pembelian Barang,1,0,10191000,5060067000
8/17/2021,Jasa Pemasangan,0,39027000,0,5099094000
8/17/2021,Pembelian Barang,1,0,8095000,5090999000
8/18/2021,Pembelian Barang,1,0,18727000,5072272000
8/18/2021,Pengandaan Barang,0,40000000,0,5112272000
8/19/2021,Pengiriman,1,0,9874000,5102398000
8/19/2021,Pengandaan Barang,0,40000000,0,5142398000
8/19/2021,Pengiriman,1,0,7726000,5134672000
8/20/2021,Pengandaan Barang,0,39698000,0,5174370000
8/20/2021,Pengiriman,1,0,8069000,5166301000
8/21/2021,Pembelian Barang,1,0,17416000,5148885000
8/21/2021,Pengiriman,1,0,10346000,5138539000
8/21/2021,Pengandaan Barang,0,39824000,0,5178363000
8/22/2021,Jasa Pemasangan,0,39557000,0,5217920000
8/23/2021,Pengandaan Barang,0,40000000,0,5257920000
8/24/2021,Pembelian Barang,1,0,11407000,5246513000
8/24/2021,Pembelian Barang,1,0,15931000,5230582000
8/24/2021,Pengiriman,1,0,12915000,5217667000
8/25/2021,Pembelian Barang,1,0,8323000,5209344000
8/25/2021,Pembelian Barang,1,0,8066000,5201278000
8/26/2021,Pembelian Barang,1,0,6839000,5194439000
8/26/2021,Pengiriman,1,0,7310000,5187129000
8/26/2021,Pengandaan Barang,0,40000000,0,5227129000
8/27/2021,Pengandaan Barang,0,39342000,0,5266471000
8/27/2021,Pengandaan Barang,0,38708000,0,5305179000
8/28/2021,Pengiriman,1,0,15782000,5289397000
8/28/2021,Pengandaan Barang,0,38262000,0,5327659000
8/28/2021,Pembelian Barang,1,0,8357000,5319302000
8/29/2021,Pengiriman,1,0,8340000,5310962000
8/30/2021,Pembelian Barang,1,0,14641000,5296321000
8/30/2021,Pengandaan Barang,0,40000000,0,5336321000
8/30/2021,Pengandaan Barang,0,39505000,0,5375826000
8/31/2021,Pengandaan Barang,0,40000000,0,5415826000
8/31/2021,Pengandaan Barang,0,40000000,0,5455826000
9/1/2021,Jasa Pemasangan,0,40000000,0,5495826000
9/1/2021,Pembelian Barang,1,0,19470000,5476356000
9/1/2021,Jasa Pemasangan,0,40000000,0,5516356000
9/2/2021,Pembelian Barang,1,0,15375000,5500981000
9/2/2021,Pembelian Barang,1,0,14693000,5486288000
9/2/2021,Pengandaan Barang,0,39472000,0,5525760000
9/3/2021,Pengandaan Barang,0,40000000,0,5565760000
9/4/2021,Pembelian Barang,1,0,5401000,5560359000
9/4/2021,Pengandaan Barang,0,40000000,0,5600359000
